Airbnb ID,Airbnb URL,Revenue Potential,Days Available,Annual Revenue,Occupancy,Daily Rate,Bedrooms
1188114181434831595,https://www.airbnb.com/rooms/1188114181434831595,137.7k,182,126.1k,89,778.7,
1172116810138270841,https://www.airbnb.com/rooms/1172116810138270841,160.9k,222,126k,63,906.2,
1108454872967477934,https://www.airbnb.com/rooms/1108454872967477934,167.8k,257,125.8k,91,537.8,
1505942263169408139,https://www.airbnb.com/rooms/1505942263169408139,161.8k,207,125.6k,69,884.3,
1352676434842970857,https://www.airbnb.com/rooms/1352676434842970857,130.8k,229,125.6k,95,578.6,
1218920415860960099,https://www.airbnb.com/rooms/1218920415860960099,168.8k,243,125.5k,36,1.4k,
1183119538957471336,https://www.airbnb.com/rooms/1183119538957471336,187.4k,201,125.3k,50,1.3k,
1162064544375139081,https://www.airbnb.com/rooms/1162064544375139081,161.3k,245,125.2k,87,590.5,
1034558134516121575,https://www.airbnb.com/rooms/1034558134516121575,281.4k,197,125k,38,1.7k,
53427317,https://www.airbnb.com/rooms/53427317,176.5k,221,125k,96,589.6,1
1001291910688919672,https://www.airbnb.com/rooms/1001291910688919672,182.9k,181,124.7k,57,1.2k,
1123611499904999085,https://www.airbnb.com/rooms/1123611499904999085,170.2k,271,124.7k,70,653.1,
264278086,,126.6k,229,124.7k,61,890.7,
1436018143039202253,https://www.airbnb.com/rooms/1436018143039202253,128.2k,305,124.7k,72,569.4,
1232441091184992617,https://www.airbnb.com/rooms/1232441091184992617,130.3k,278,124.6k,74,602,
1272900556530697678,https://www.airbnb.com/rooms/1272900556530697678,153k,205,124.4k,63,956.9,2
696842221023998510,https://www.airbnb.com/rooms/696842221023998510,151.8k,293,124.2k,61,690.3,
983389794285087127,https://www.airbnb.com/rooms/983389794285087127,124.4k,264,124.1k,37,1.3k,
1116475231338688744,https://www.airbnb.com/rooms/1116475231338688744,134.8k,217,124k,70,816.1,
1264251864553104608,https://www.airbnb.com/rooms/1264251864553104608,180.8k,230,123.8k,88,612.6,
